nome,ingrediente,preparo,sabor
Bolo de Requeijão,"- 3 ovos
- 1 copo de requeijão (250g)
- 2 xícaras de chá de açúcar
- 1/2 xícara de chá de óleo
- 1 pacote de coco ralado (100gr)
- 2 xícaras de chá de farinha de trigo
- 1 colher de sopa de fermento em pó","Em uma batedeira, bata todos os ingredientes até incorporar bem. Passe para uma forma de furo central untada e enfarinhada e leve ao forno pré-aquecido em temperatura média por cerca de 40 minutos. Espere amornar e desenforme.
",d
Quiibe assado,"- 800gramas de carne moída
- 500g de trigo para quibe
- 3 dentes de alhos amassados
- 2 cebolas picadinhas
- 1 a 2 tomates picados sem sementes
- Cebolinha e cheiro verde a gosto
- hortelã picadinho a gosto
- Sal
- pimenta - do - reino a gosto
- 3/4 xícara de azeite",Deixar o trigo para quibe de molho por 1 hora em água morna. Escorrer muito bem e espremer o trigo. Misturar os demais ingredientes. Espalhe o quibe em uma forma untada com azeite e jogue por cima um pouco mais de azeite.,s
Pavê de Nozes,"- 1 pacote de bolacha calipso
- 1 pacote e meio de bolacha de maisena
- 2 caixinhas(200ml) de creme de leite
- 2 caixinhas de doce de leite( usei a medida da caixinha de creme de leite 200ml)
- 1/2 k quilo de nozes
Ganache:
- 1caixinha(200ml) de creme de leite
- 200 g de chocolate meio amargo","Misture o doce de leite com o creme de leite e junte as nozes picadas deixando umas inteiras para decorar e reserve

Ganache:
Pique o chocolate e junte o creme de leite e leve ao microondas por 25 a 30 segundos misture bem.

Montagem:
Unte os lados da forma ou travessa com pouco de manteiga
Coloque bolacha calipso em pé em volta da forma depois forre o fundo da forma com bolachas de maisena e por cima espalhe camada de creme nozes, vai alternando com a bolacha de maisena e terminando com o creme, depois coloque por cima o ganache e decore com nozes. Leve para gelar.",d
Torta de morango da Tia Eliza,"Massa:
- 5 ovos
- 3 xícaras de açúcar
- 3 xícaras de farinha de trigo
- 1 copo de medida de requeijão ( de água)
- 1 colher de sopa de fermento em pó

Recheio da torta:
- 1 lata de condensado
- 2 latas de creme de leite
- 5 caixinhas de morango
- 4 xícaras de açúcar
- Chantilly para decorar","Massa:
Bata as gemas com água até formar um creme, sem parar de bater misture o açúcar aos poucos, depois vai colocando a farinha e o fermento em pó
Por último as claras em neve delicadamente.
Leve para assar em forno pré-aquecido .

Recheio da torta:
Misture o creme de leite e o leite condensado e reserve.
Cozinha as 4 caixas de morangos com 4 xícaras de açúcar passe pela peneira e misture com o leite reservado

Montagem da torta:
Cortar o bolo ao meio e molhar o com guaraná e champanhe.
Coloque um pouco de chantilly creme do morango e cubra com a outra metade do bolo e molhar novamente com champanhe e guaraná
Coloque por cima o restante deste creme , chantilly e a outra caixa de morango cortado ao meio.
Depois enfeite a borda com chantilly e por cima dos morangos coloque cobertura de sorvete de morango a gosto...",d
Bolo de Mexerica com Casca,"- 2 mexericas inteiras sem as sementes
- casca e caldo de uma mexerica sem sementes e sem bagaços
- 4 ovos
- 2 copos americanos de açúcar
- 2 copos de farinha de trigo
- 1 copo de óleo
- 1 colher de fermento em pó
- Obs: pode usar também como medida copo de requeijão","No liquidificador bata bem os ovos
Lave bem 2 mexericas pique e tire as sementes e vá acrescentando aos poucos com os ovos. De uma mexerica apenas a casca e o caldo deixe bater bem.
Acrescente o açúcar e o óleo e bata bem
Numa vasilha coloque a farinha e o fermento em pó e acrescente esta mistura e mexe muito bem. Coloque numa forma untada e enfarinhada e leve para assar decore com açúcar de confeiteiro e gomos de mexerica",d
Manjar de Coco,"- 1 litro de leite
- 1 lata de leite condensado (395 g)
- 1 vidro de leite de coco (200ml)
- 1 xícara de amido milho 110gramas
- 1 pacote de 100gramas de flococos ou coco ralado
- Ameixa em calda a gosto","Coloque o leite, leite condensado, leite de coco, flococos, amido de milho numa panela misture bem e leve ao fogo baixo até engrossar.
Coloque numa forma molhada e leve a geladeira até endurecer.
Depois desenforme e jogue por cima a ameixa em calda

Dica: Se você não tiver ameixa em calda
Pode ser um pacote de ameixa seca sem caroço e prepara deste modo: 
1 xícara (chá) de açúcar 
2 xícaras (chá) de água 
Ameixas pretas sem caroço(170 g) Leve tudo ao fogo até a ameixa ficar macia e ja está pronta sua ameixa em calda.",d
Bolo de Canela (Bolo Mágico),"- 4 ovos ( claras separadas)
- 1 xícara de açúcar
- 100 gramas de manteiga ou margarina
- 3 xícaras de farinha de trigo
- 1 xícara de leite
- 1 colheres de (sopa) de canela (ou a seu gosto)
- 1 colher de (sopa) de fermento em pó","Coloque na batedeira a manteiga , as gemas e o açúcar e bata até ficar um creme esbranquiçado. Depois coloque a farinha e o leite e bata bem até ficar homogêneo.
Coloque o fermento e a canela e misture bem sem bater .Por último coloque delicadamente as claras em neve. 
Coloque a massa em forma untada e enfarinhada e leve para assar em forno pré-aquecido 180 graus por mais ou menos 40 minutos ou até que esteje dourado ou espete um palito , se sair seco já está pronto.
Espere o bolo esfriar para desenformar
Polvilhe açúcar e canela a gosto


Dica: não abra antes de 30 minutos",d
Torta de morango,"Massa:
- 1 ½ xícara de chá de farinha de trigo
- 1 gema
- 100 gramas ou 4 colheres de sopa de manteiga ou margarina sem sal
- 2 colheres de sopa de açúcar
- 1 colher sopa de fermento em pó

Recheio da torta:
- 700 ml de leite
- 5 colheres de sopa de amido de milho
- 1 gema peneirada
- 1 lata e meia de leite condensado
- 1 caixinha de 200ml de creme de leite

Para a Cobertura:
- Morangos lavados e cortados ao meio
- 2 caixas de gelatina de morango
- castanha de caju (opcional)","Massa:
Misture todos os ingredientes com as mãos fazendo uma farofa úmida, forre a assadeira comum ou com aro removível com a massa e fure com um garfo. 
Leve para assar até estar levemente dourada, aproximadamente 25 minutos na temperatura de 180°C.

Recheio:
Coloque todos os ingredientes em uma panela, leve ao fogo até engrossar desliga o fogo coloque 1 caixinha de 200ml de creme de leite, misture bem leva ao fogo por 1 minuto.
Espere esfriar e derrame este creme dentro da massa assada e coloque na geladeira. Enquanto isso, hidrate a gelatina em 200ml de água quente e 200ml de água fria leve a geladeira sem deixar endurecer. 
 
Montagem:
Retire a torta da geladeira e cubra com morangos cortados ao meio, coloque por cima a gelatina e leve para gelar novamente
Se quiser polvilhe castanha de caju ...",d
Doce de Abóbora Cristalizado,"- 1 e ½ kg de abóbora
- 2 colheres de sopa de cal virgem
- 2 litros de agua
- 1 Kg de açúcar
- 1 xícara de chá de água
- 4 cravos da índia
- açúcar cristal","Tire a casca da abóbora e corte-a em cubos. Reserve. Dissolva o cal nos 2 litros de água, coloque os pedaços de abóbora dentro e deixe repousar por cerca de 2 horas. Escorra bem e lave bem os pedaços de abóbora com água corrente. Leve ao fogo o açúcar, a água, os cravos , deixe ferver até que o açúcar esteja dissolvido, junte os pedaços de abóbora e cozinhe em fogo brando por 30 minutos. Adicione mais água se necessário. Retire do fogo e espere esfriar. Escorra os pedaços de abóbora numa peneira, passe-os no açúcar cristal e deixe secar ao sol",d
Arroz Doce,"- 2 copos de arroz
- 4 copos de água
- 1 copo de açúcar
- 1 lata de leite moça
- 750 ml de leite
- 1 garrafinha de leite de coco pequena
- 1 pacote de coco ralado 100 gramas
- canela em pó
- Noz-moscada( opcional)
- (usei o copo de medida de requeijão de 250ml)
","Coloque o arroz para cozinhar com agua e o açúcar em fogo baixo, quando estiver quase secando acrescente o leite moça, leite, coco ralado, leite de coco, uma colher de sobremesa de canela e deixe cozinhar por mais uns 15 a 20 minutos no fogo bem baixinho. Desligue coloque numa travessa e polvilhe mais canela e se gostar salpique um pouco de noz moscada em pó",d
